participant,question_no,question,answer,source_file
1,11,运动目标更在意身体素质、体能提升，还是身材外形、线条管理？,首要还是健康为主吧，线条是为辅，但是也会注意一下，稍微。,E:\Project\1808论文\data\采访对象_1_QA.md
1,12,女生普遍不敢进入力量区，更多是自身心理原因，还是健身房空间、氛围、文化问题？,都有吧，我感觉心理是一部分，然后还有一部分是，我感觉跟可能哑铃的重量也有关系，有些哑铃可能太重了。女生的手臂力量，如果练肩背，可能没有那么强。针对女生力量设计的健身设施还是相对来说数量比较少。,E:\Project\1808论文\data\采访对象_1_QA.md
1,13,增加小重量设施数量会更好吗？,会好一些，肯定会好一些。因为我经常去练的时候发现我想用的那个重量就别人在用，重的我又拿不起来。,E:\Project\1808论文\data\采访对象_1_QA.md
1,14,希望学校开展针对女生的健身课程吗？,我感觉可以分开。尤其是男生和女生，健身的部位也不一样，用的力量、力气有差异，确实可以分开。,E:\Project\1808论文\data\采访对象_1_QA.md
1,15,对学校健身房布局、课程设置有其他意见或建议吗？,没有其他意见。,E:\Project\1808论文\data\采访对象_1_QA.md
2,1,请问你平日在校园里会健身吗？最常去的场所是我们学校的健身房吗？,会，如果是运动的话，会去。,E:\Project\1808论文\data\采访对象_2_QA.md
2,2,那一般你会在健身房做什么类型的运动？,我的话，有氧和力量训练大概是 1:1 吧。,E:\Project\1808论文\data\采访对象_2_QA.md
2,3,那你第一次走进健身房的时候，整体感觉怎么样？,我觉得气氛非常好，大家的素质非常高。,E:\Project\1808论文\data\采访对象_2_QA.md
2,4,嗯，那除了气氛，从你对周边健身者的观察这个角度来说呢？,就是大家都在自己练自己的，对，就是挺好的。,E:\Project\1808论文\data\采访对象_2_QA.md
2,5,你觉得校园健身房的有氧区和力量区，在安全感、被注视感上有明显差别吗？,嗯，我觉得没有差别，就是我觉得都没有被注视的感觉。没有经历、没有体会到这个。就像你刚刚说，每个人都是自己在干自己的，没有特别关注别人。,E:\Project\1808论文\data\采访对象_2_QA.md
2,6,你有没有尝试过力量训练呢？如果没有尝试，最主要的原因是什么？,不是，这学期才开始尝试。之前的话，就是感觉不太了解，那些器械怎么使用不太懂，所以就没有尝试。这学期是因为上了那门课，学会怎么使用之后就会去练。,E:\Project\1808论文\data\采访对象_2_QA.md
2,7,你会因为力量训练区的整体氛围、人多拥挤这些原因刻意避开吗？会不会担心自己动作不标准，被别人评价？,如果人太多的话，我一般不会去。可能别人也需要用这个器械，然后我自己在练的时候，动作不标准会担心，占用了别人的器械，然后会被观察。我练得比较一般，然后我一般去的时候，人都不多。,E:\Project\1808论文\data\采访对象_2_QA.md
2,8,在健身房感到不自在的时候，你会用什么方式调节自己？比如挑人少的时间去、和朋友一起去之类的？,一般会选人比较少的时间段，然后偶尔会和朋友一起去。,E:\Project\1808论文\data\采访对象_2_QA.md
2,9,那你是觉得跟朋友一起去更自在一点吗？,我是觉得跟朋友一起去，他可以帮我看我练得对不对。我一个人会比较慌一点。,E:\Project\1808论文\data\采访对象_2_QA.md
2,10,然后你平时刷手机的时候，会刷到女生练力量、身材变壮，还有主流审美这类观点吗？会不会因为这类观点而不敢长时间做力量训练？,其实都有，这类观点也有。但是我刷到更多的观点，可能还是比较赞赏女生练力量训练之后的身材。所以我觉得这些观点都会对我产生影响，但是整体上，在我刷到的社交平台上还是正面的观点多一点，就是认为不会偏离主流的身材。对，因为我觉得现在的主流审美也很多元。,E:\Project\1808论文\data\采访对象_2_QA.md
2,11,受这些观点影响，你会有什么改变？对你自身还有运动选择有什么影响？,我觉得影响应该会有，但是它可能就是产生影响，但不至于影响我的选择。就是可能会有一些人觉得练得太壮不好看，我看到这种观点会觉得不舒服，但是它不会影响我去练。健身不一定是要练得壮，而是让你的肌肉跟体态更好。也不是说练力量就一定是练肌肉，你也可以练核心、练别的部分。,E:\Project\1808论文\data\采访对象_2_QA.md
2,12,所以对你来说，力量训练主要起到什么作用？,我觉得一个是为了健康，因为我也看到过很多说法，力量训练对身体有很多好处等等，所以我觉得这是第一点。然后第二点是好看，不是练得壮，只要体脂率下去就好。,E:\Project\1808论文\data\采访对象_2_QA.md
2,13,你运动的时候更在意身体健康、体能提升，还是身材外形和线条管理？就是你刚才说的两点，你更在意哪一边？,我觉得目前应该是身体健康。因为我对练得特别好的那种身材好像没有很多追求。,E:\Project\1808论文\data\采访对象_2_QA.md
2,14,那你觉得现在主流审美是对健身身材的一种追求吗？,目前我接触到的应该是，但是我觉得这个信息也很多元，所以不太确定主流审美。,E:\Project\1808论文\data\采访对象_2_QA.md
2,15,你认为女生普遍不敢进入力量区，更多是因为个人心理原因，还是空间氛围、文化问题？,我觉得是个人心理原因多一点，其实是互相影响的关系。然后我觉得大部分女生都不太了解力量训练的方法，所以可能会有门槛，不知道怎么使用这些工具，所以就导致不敢。然后很在意别人对自己的评价，就像你刚才说，人多的时候总感觉别人在观察你，觉得自己动作不标准，会耽误别人使用器械，所以就是一种个人心理。,E:\Project\1808论文\data\采访对象_2_QA.md
2,16,从空间、氛围、文化这个角度，你觉得是怎样的情况？,空间的话，健身房器械很多，但是人多的时候空间就比较挤，有些人想练就没有器械可用。还有一些空间设计比较偏男性化，就像男厕女厕是两种不同的设计，健身房大部分看起来设计得比较男性风格。氛围也是，练的大部分是男生，所以氛围可能会让女生有距离感。可能女生会觉得自己跟大家不一样，训练经验、重量这些都跟大家不一样，就会比较尴尬。,E:\Project\1808论文\data\采访对象_2_QA.md
2,17,你心中对女生友好、性别包容的校园健身房，应该具备哪些特点？,我觉得我们学校健身房不是有电视吗？可以多放一些器械的使用方法，现在那个就非常好，可以多加一些其他视频，覆盖更多训练方式。然后我觉得可以开设一些零基础入门的班，系统教大家怎么练、怎么使用工具。我们体育课会教，我觉得体育课做得很好，但除了体育课外，也可以开一些所有人都能参加的课。体育馆预约那里好像有，但我没感受到过，而且好像不包括健身设施的使用教学。,E:\Project\1808论文\data\采访对象_2_QA.md
2,18,最后想请你用几句话概括一下，你在校园健身房的整体感受和心理状态，也可以用几个词。以及对学校目前健身房布局和课程设置的建议。,整体感受就是健身房的设施很齐全，想练什么都可以练到，然后大家素质很高，练的时候状态也非常自然。,E:\Project\1808论文\data\采访对象_2_QA.md
2,19,建议的话？,我觉得布局现在就挺好的。课程设置上，可以开设一些对入门女生更友好的课程，考虑到大家经验不足。,E:\Project\1808论文\data\采访对象_2_QA.md
2,20,意思是专门为女生开设吗？,我觉得可以，毕竟女生大部分没有什么经验，确实有必要专门设计课程。,E:\Project\1808论文\data\采访对象_2_QA.md
3,1,请问你平时在校园里会健身吗？最常去的场所是校园健身房吗？,我在学校里会健身，但只会在宿舍健身，不会去健身房。,E:\Project\1808论文\data\采访对象_3_QA.md
3,2,你有去过健身房吗？,我去过一次。,E:\Project\1808论文\data\采访对象_3_QA.md
3,3,那你走进去的时候，整体感觉怎么样？,感觉就是，我觉得可能只是我自己后期想太多，但确实有很多人会看过来，自己进去有点被注视的感觉。,E:\Project\1808论文\data\采访对象_3_QA.md
3,4,你觉得健身房的有氧区和力量区，在安全感、被注视感上有明显差别吗？,有。我记得有氧区有很多泡沫轴之类的地方，但是它是面朝外面的，所以看不到背后的人在看它。但是在做力量训练的时候，面前是很大的镜子，余光很容易注意到周围，偶尔就会感觉到有人在看你。,E:\Project\1808论文\data\采访对象_3_QA.md
3,5,那你有没有做过一些力量训练？如果没怎么尝试，最主要的原因是什么？,我也只有在宿舍会做一点自重力量训练，在宿舍会尝试部分力量训练，不太去健身房。不去、不尝试健身房力量训练的原因……其实我尝试过，但就是不敢去。,E:\Project\1808论文\data\采访对象_3_QA.md
3,6,你会因为力量训练区的整体氛围、男女比例这些原因，刻意避开力量训练区吗？会不会担心自己动作不标准，被别人评价？,"我会。其实我避开力量训练区，有一部分是因为我是新手，什么都不会，很担心器材不知道怎么用，担心动作不标准，别人看了会觉得""好菜啊""。而且我感觉，那边大部分还是男生，而且那些男生都已经练得很好，肌肉量很大，看着就很有压迫感。我没有任何歧视，我觉得他们都练得很好，但我就是特别在意他们对我的评价。",E:\Project\1808论文\data\采访对象_3_QA.md
3,7,在健身房感到不自在的时候，你会用什么方式调节自己？,我去的时候会选择不戴眼镜，直接无视掉，或者和同学、朋友一起去，就感觉跟同伴在一起更安心。,E:\Project\1808论文\data\采访对象_3_QA.md
3,8,"你平时刷手机的时候，会刷到一些像""女生练力量身材变壮，会偏离主流审美""之类的观点吗？会不会因为这类观点就不想去尝试力量训练？",我会刷到这种观点，但我觉得这种观点很不合理，我完全不认同，有时候甚至会反驳。我不在意这些。,E:\Project\1808论文\data\采访对象_3_QA.md
3,9,你运动的时候更在意身体健康、体能提升，还是更在意身材外形、线条管理？,更在意身体健康和体能。如果能有比较好的线条，我也会更开心。,E:\Project\1808论文\data\采访对象_3_QA.md
3,10,你认为女生普遍不敢进入力量区，更多是因为个人心理原因，还是空间氛围、文化问题？,我觉得空间还好，比较吵，但氛围文化影响更多。首先是氛围，他们情绪表达比较外放，偶尔说话声音也大。不管他们有没有恶意，但只要你一走进来，就感觉大家都在看你，会有点压力。另外就是他们情绪外放，会让人心里紧张，也会担心动作不标准被嘲笑。还有就是我在网上看到过健身房不太好的人和事，被网上的氛围影响。包括健身房也有点容易不干净，很多人健完身没有擦干净器械的习惯，味道比较重，这些也会让人不想去。,E:\Project\1808论文\data\采访对象_3_QA.md
3,11,那你觉得个人心理方面的原因呢？,其实我觉得别人会不会嘲笑你，跟别人关系不大，主要还是自己。正常人一般不会刻意评价别人，但我自己会假想别人可能会嘲笑我，然后就害怕、不敢去。别人一个眼神，我就会觉得他对我有不好的看法。,E:\Project\1808论文\data\采访对象_3_QA.md
3,12,在你心中，对女生友好、性别包容的校园健身房应该具备哪些特点？,我觉得首先是每个人都比较爱干净，用完器械会拿酒精擦一下。另外不只是对女生友好，应该对新手友好。可以设置一些隔离开的区域，因为现在大片区域太开放了，大家很容易看到彼此做动作。可以做小一点的空间，或者不搞那么多大镜子，也不用完全开放式，可以用隔板分开区域，更有隐私一点，有点像小隔间那样。,E:\Project\1808论文\data\采访对象_3_QA.md
3,13,关于健身课程，你有什么想法？,健身课程我非常希望可以开设专门针对女生的健身课。因为感觉受之前那些影响，健身房里大部分还是男生，刷短视频时，讲大重量力量训练的博主也大部分是男生。男生和女生的生理结构完全不一样，训练方式也完全不一样，适合男生的训练方法不应该直接用在女生身上。比如男生做深蹲很好，但女生盲目深蹲可能有不同的身体负担。我希望有更适合女生身体、能真正帮助女生的训练指导。,E:\Project\1808论文\data\采访对象_3_QA.md
3,14,你能用几个词语描述一下在健身房里的整体感受和心理状态吗？,紧张、不安，不戴眼镜看不清东西，只能跟自己对话，屏蔽掉周围一切，有点紧张和害怕。,E:\Project\1808论文\data\采访对象_3_QA.md
3,15,在这种状态下，你还会尝试在健身房训练吗？,会的，我会直接忽视它们，自己练的时候还会自言自语，让自己镇定下来。,E:\Project\1808论文\data\采访对象_3_QA.md
3,16,你之前说只去过一次，那以后还有想去健身房的想法吗？,"我挺想去的。但我会觉得自己身材不好，会想""我身材这么不好还来健身""，这些都是我自己心里的想法，像心理防御一样。而且宿舍健身比较方便，去健身房有点远。",E:\Project\1808论文\data\采访对象_3_QA.md
3,17,对于女性健身，你还有什么更多的建议或想法吗？,感觉现在很多女生不好好吃饭，从中医角度有点气虚或血虚，不太适合一上来就猛跳操、做高强度训练，身体会受不住。我自己就是这样，经期运动太猛，那一周会睡不好、很累。应该先从比较舒缓的运动慢慢过渡。,E:\Project\1808论文\data\采访对象_3_QA.md
